model;0;1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
REMIND;14.6;14.6;14.6;14.6;14.6;14.6;14.6;14.6;14.6;14.6;7.8;7.72;8.62;18.72;21.13;20.64;18.39;17.96;15.16;12.2;5.67;5.44;5.33;2.36;3.3;0.52;1.74;2.08;1.09;1.42;2.95;2.06;1.82;1.5;2.47;2.87;1.59;2.05;2.03;1.98
AIM;6.9;6.9;6.9;6.9;6.9;6.9;6.9;6.9;6.9;6.9;7.8;7.72;8.62;18.72;21.13;20.64;18.39;17.96;15.16;12.2;5.67;5.44;5.33;2.36;3.3;0.52;1.74;2.08;1.09;1.42;2.95;2.06;1.82;1.5;2.47;2.87;1.59;2.05;2.03;1.98
IMAGE;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;19.6;7.8;7.72;8.62;18.72;21.13;20.64;18.39;17.96;15.16;12.2;5.67;5.44;5.33;2.36;3.3;0.52;1.74;2.08;1.09;1.42;2.95;2.06;1.82;1.5;2.47;2.87;1.59;2.05;2.03;1.98
WITCH;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;7.8;7.72;8.62;18.72;21.13;20.64;18.39;17.96;15.16;12.2;5.67;5.44;5.33;2.36;3.3;0.52;1.74;2.08;1.09;1.42;2.95;2.06;1.82;1.5;2.47;2.87;1.59;2.05;2.03;1.98
GEM_E3;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;7.8;7.72;8.62;18.72;21.13;20.64;18.39;17.96;15.16;12.2;5.67;5.44;5.33;2.36;3.3;0.52;1.74;2.08;1.09;1.42;2.95;2.06;1.82;1.5;2.47;2.87;1.59;2.05;2.03;1.98
INDIA_M;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3;7.8;7.72;8.62;18.72;21.13;20.64;18.39;17.96;15.16;12.2;5.67;5.44;5.33;2.36;3.3;0.52;1.74;2.08;1.09;1.42;2.95;2.06;1.82;1.5;2.47;2.87;1.59;2.05;2.03;1.98
POLES;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;7.8;7.72;8.62;18.72;21.13;20.64;18.39;17.96;15.16;12.2;5.67;5.44;5.33;2.36;3.3;0.52;1.74;2.08;1.09;1.42;2.95;2.06;1.82;1.5;2.47;2.87;1.59;2.05;2.03;1.98
