model;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;46;47;48;49;50;51;52;53;54;55;56;57;58
REMIND;0;7.8;7.72;8.618;18.715;21.13;20.643;18.388;17.961;15.16;12.195;5.672;5.441;5.33;2.356;3.299;0.517;1.735;2.08;1.085;1.415;2.95;2.062;1.816;1.504;2.47;2.867;1.59;2.05;2.03;1.984;4.273;3.321;3.065;2.79;2.31;2.4;2.504;1.99;0.604;0.95;1.77;0.35;0.44;0.12;0.12;0.509;0.415;0.062;0.24;0.16;0.417;0.397;0.17;0.2;0.05;0.18;0.08
AIM;0;7.8;7.72;8.618;18.715;21.13;20.643;18.388;17.961;15.16;12.195;5.672;5.441;5.33;2.356;3.299;0.517;1.735;2.08;1.085;1.415;2.95;2.062;1.816;1.504;2.47;2.867;1.59;2.05;2.03;1.984;4.273;3.321;3.065;2.79;2.31;2.4;2.504;1.99;0.604;0.95;1.77;0.35;0.44;0.12;0.12;0.509;0.415;0.062;0.24;0.16;0.417;0.397;0.17;0.2;0.05;0.18;0.08
IMAGE;0;7.8;7.72;8.618;18.715;21.13;20.643;18.388;17.961;15.16;12.195;5.672;5.441;5.33;2.356;3.299;0.517;1.735;2.08;1.085;1.415;2.95;2.062;1.816;1.504;2.47;2.867;1.59;2.05;2.03;1.984;4.273;3.321;3.065;2.79;2.31;2.4;2.504;1.99;0.604;0.95;1.77;0.35;0.44;0.12;0.12;0.509;0.415;0.062;0.24;0.16;0.417;0.397;0.17;0.2;0.05;0.18;0.08
WITCH;0;7.8;7.72;8.618;18.715;21.13;20.643;18.388;17.961;15.16;12.195;5.672;5.441;5.33;2.356;3.299;0.517;1.735;2.08;1.085;1.415;2.95;2.062;1.816;1.504;2.47;2.867;1.59;2.05;2.03;1.984;4.273;3.321;3.065;2.79;2.31;2.4;2.504;1.99;0.604;0.95;1.77;0.35;0.44;0.12;0.12;0.509;0.415;0.062;0.24;0.16;0.417;0.397;0.17;0.2;0.05;0.18;0.08
GEM_E3;0;7.8;7.72;8.618;18.715;21.13;20.643;18.388;17.961;15.16;12.195;5.672;5.441;5.33;2.356;3.299;0.517;1.735;2.08;1.085;1.415;2.95;2.062;1.816;1.504;2.47;2.867;1.59;2.05;2.03;1.984;4.273;3.321;3.065;2.79;2.31;2.4;2.504;1.99;0.604;0.95;1.77;0.35;0.44;0.12;0.12;0.509;0.415;0.062;0.24;0.16;0.417;0.397;0.17;0.2;0.05;0.18;0.08
INDIA_M;0;7.8;7.72;8.618;18.715;21.13;20.643;18.388;17.961;15.16;12.195;5.672;5.441;5.33;2.356;3.299;0.517;1.735;2.08;1.085;1.415;2.95;2.062;1.816;1.504;2.47;2.867;1.59;2.05;2.03;1.984;4.273;3.321;3.065;2.79;2.31;2.4;2.504;1.99;0.604;0.95;1.77;0.35;0.44;0.12;0.12;0.509;0.415;0.062;0.24;0.16;0.417;0.397;0.17;0.2;0.05;0.18;0.08
POLES;0;7.8;7.72;8.618;18.715;21.13;20.643;18.388;17.961;15.16;12.195;5.672;5.441;5.33;2.356;3.299;0.517;1.735;2.08;1.085;1.415;2.95;2.062;1.816;1.504;2.47;2.867;1.59;2.05;2.03;1.984;4.273;3.321;3.065;2.79;2.31;2.4;2.504;1.99;0.604;0.95;1.77;0.35;0.44;0.12;0.12;0.509;0.415;0.062;0.24;0.16;0.417;0.397;0.17;0.2;0.05;0.18;0.08
